Name,Department,Rating,Would Take Again,Difficulty Level
Hoon Kim,Languages,3.6,46%,3.2
Jessie Gamble,Women's Studies,3.9,N/A,3.5
Karen Stubaus,Women's Studies,4.9,N/A,1.9
Julia Doemland,Physical Ed,3.6,N/A,2.2
Michelle Jefferson,Leadership & Organization,4.5,75%,1.5
A Choi,Languages,3.7,N/A,2.1
John Taylor,Chemistry,4.4,79%,3
Kavitra Ramachandran,Ethnic Studies,3.4,N/A,2.7
Daniel Tanner,Education,3.4,N/A,3.4
Matthew Rusnak,Languages,5.0,N/A,1.8
Sunil Somalwar,Physics,4.9,100%,1.7
. Merrill,Science,2.8,N/A,4.3
John Worobey,Nutrition,4.5,N/A,1.6
Eman Aboelnaga,Mathematics,3.0,N/A,3.3
Bikki Jaggi,Accounting,2.2,N/A,3.7
David Levine,Communication,4.8,100%,3.4
Jeffrey Ritter,Political Science,4.4,N/A,2.9
Saladin Ahmed,English,4.5,N/A,2.4
Henry Eng,Mathematics,2.1,N/A,2.8
Frederick Urrey,Music,3.7,N/A,2.4
Jozsef Beck,Mathematics,2.9,43%,3.2
Shirli Sela-Levavi,Women's Studies,2.9,N/A,4
Yasuko Okada Hawalka,Japanese,3.8,N/A,2.5
Jonathan Weisberg,Philosophy,4.4,N/A,2.2
Catherine Monetti,Nursing,2.6,N/A,2.3
Nydia Flores,Languages,2.7,N/A,3.7
Carrie Swanson,Philosophy,2.4,N/A,3.9
Gloria Shen,Languages,1.6,N/A,3
Ben Justice,Education,4.9,100%,3.2
James Nevius,English,3.8,100%,2.5
Peter Sorrell,Languages,4.7,100%,2.3
Benjamin Neimark,Geography,4.4,N/A,2.3
Todd Marder,Art History,3.8,100%,3.1
Prabhas Moghe,Engineering,3.8,100%,3.8
Sidney Auerbach,Biology,3.8,N/A,3
M Kiledjian,Science,3.9,80%,3.3
Bruce Babiarz,Biology,4.7,N/A,2.6
James K Mitchell,Geography,2.6,N/A,4.1
Cheng Fu Lee,Finance,1.4,0%,3.7
Floyd Grave,Music,3.4,N/A,3.1
Ron Miskoff,Journalism & Media Studies,3.0,N/A,2.9
Richard Strugala,English,4.4,N/A,2.3
Janet Lorenzen,Sociology,4.3,N/A,2
John Pucher,Social Science,4.4,N/A,2
Victoria Ukachukwu,Chemistry,1.1,N/A,4.6
Helen Dedes,Women's Studies,2.5,N/A,2.3
Michael Long,Finance,1.1,N/A,5
Craig Feibel,Anthropology,4.0,100%,2.9
Robert Kubey,Journalism & Media Studies,4.0,N/A,2
Donald Siegel,Chemistry,2.6,100%,3.8
Christie Veitch,Psychology,4.5,N/A,3.3
Tadeusz Balaban,Mathematics,3.8,75%,1.9
Yair Reisner,Criminal Justice,4.0,N/A,2.4
Gerry Beegan,Design,4.0,N/A,2.6
Ellen Anne Adesso,Accounting,3.3,34%,3.6
M Plummer,Science,3.2,50%,4.1
Xin Ning,Literature,3.7,N/A,2.1
Elizabeth Hirschman,Marketing,4.4,N/A,1.9
Mark Vareschi,English,3.5,N/A,2.8
Michael O'Nan,Mathematics,3.1,N/A,3.2
Saul Rubenstein,Labor Studies,4.5,100%,2.2
D Delia,Economics,3.7,100%,3.1
S Zbaida,Chemistry,3.1,40%,3.3
A. Shadi Tahvildar-Zadeh,Mathematics,3.0,25%,3.5
J Fagan,Science,2.1,N/A,1.8
Judith Nicosia,Music,4.5,100%,4.6
George Joseph,Economics,3.3,N/A,2.2
Randy Gaugler,Biology,4.7,N/A,2.6
Michael Iba,Medicine,1.5,N/A,4.8
John A. Reitmann,Mathematics,4.2,100%,2.4
Jan Mohlman,Psychology,4.8,N/A,1.8
Shirley Smoyak,Health Science,2.0,N/A,2.9
Nada Boustany,Engineering,3.1,100%,4
Donn Derr,Economics,3.6,N/A,2.9
Penny Carlson,Economics,4.1,100%,2.9
Lloyd Gardener,History,3.2,N/A,2.9
Farib Damonpour,Business,3.4,N/A,2.7
Emilio Venezian,Finance,1.4,N/A,4.8
Yogesh Jaluria,Engineering,3.5,100%,3.3
Mohan Kalelkar,Physics,4.5,N/A,2.1
Jane Ashton Sharp,Art History,2.8,N/A,3.9
Jean-Marie Hartman,Landscape Architecture & Regional Planning,2.9,N/A,1.9
Svetlana McCoy,Languages,3.0,N/A,2.4
David Marsh,Languages,2.7,0%,2.3
Helen Delfeld,Political Science,4.4,N/A,2.8
Kathe Newman,Urban Studies,3.4,N/A,2.9
Yoel Beniluz,Accounting,3.8,100%,3
Carmen-Lau D. Lovin,Women's Studies,4.4,N/A,1.7
Roger Nussbaum,Mathematics,2.8,67%,3.2
David Ferrio,Business,4.6,N/A,2
Robert Blumenschine,Anthropology,4.1,N/A,3.3
Barbara Zilinskas,Biology,4.2,N/A,2.8
Barbara Goff,Agriculture,4.5,N/A,2.1
Richard McCormick,History,2.1,75%,3.6
Amy Bahruth,Labor Studies,4.5,100%,1.6
. Berkowitz,Mathematics,2.8,N/A,2.8
Stew Mohr,Information Science,4.4,N/A,2.1
Christopher Rongo,Biology,3.0,100%,3.9
Romana Uhlirova,Comparative Literature,4.6,N/A,1.4
Suzanne Lebsock,History,3.0,N/A,2.6
Virginia Bower,Art History,4.7,N/A,1.8
. Winterbottom,Philosophy,4.5,N/A,1.6
M Makalani,History,2.7,N/A,3.6
Adi Ben-Israel,Mathematics,2.9,40%,4
Chetan Mannige,Economics,4.6,N/A,1.6
Mark Schuster,Psychology,3.6,50%,3.3
Kristin Dana,Engineering,3.6,100%,2.6
Eduardo Sontag,Mathematics,3.8,50%,2.2
Dongcheol Kim,Finance,2.1,N/A,3.4
Ivan Brick,Business,3.5,80%,3.1
Claire Calandra,Management,4.0,N/A,3
Benedicte Lebehot,Languages,4.6,N/A,2.2
Terance Butler,Mathematics,4.3,50%,2.5
Amir Zamani,Religion,2.2,N/A,3.7
Darcell Lowery,Labor Studies,3.0,50%,2.9
Mia Bay,History,3.4,0%,2.5
Bruce Reynolds,Journalism & Media Studies,4.4,91%,2.8
T Matise,Biology,4.3,100%,2.8
L Covey,Biology,3.8,100%,3.4
Parviz Dehghani,Religion,2.0,34%,2.9
Navin Sinha,Biology,3.5,N/A,3.1
Nancy Wolff,Public Health,2.0,50%,4.5
Yogita Joshi,Languages,4.6,N/A,2
L Pavlovsky,Library Science,4.3,50%,2.1
Tamar Barkay,Biology,3.0,25%,3.7
Thomas Juneau,Music,4.5,N/A,1.5
David Letwin,Theater,3.8,75%,3
Jo Kim,Women's Studies,3.3,N/A,4.1
Carlton Pryor,Physics,3.8,43%,2.8
Julia Kostova,Languages,4.2,N/A,2.1
J Camacho,Languages,3.8,100%,3
Bob Nelson,English,4.8,N/A,2.1
Eric Williams,Political Science,4.3,N/A,3
Dillon Mahoney,Anthropology,4.8,N/A,2.3
Roslyn Carter,Women's Studies,2.4,N/A,4
Doris Glowacki,Languages,4.9,100%,1.8
Carrie Malcom,English,2.9,N/A,3.4
Vondell Richmond,African Studies,2.8,N/A,2
Iva Popovicova,English,3.4,N/A,3.6
Michael Grigoriadis,Computer Science,2.7,N/A,4.4
Nora Hyland,Education,2.8,0%,3.2
Avi Tilak,Engineering,2.5,N/A,2
Peter Hercky,Communication,4.5,100%,1.6
Louis Lelkes,Biology,4.1,N/A,2.2
Louis Steinberg,Computer Science,2.9,45%,3.3
Richard Lau,Political Science,3.1,N/A,2.3
Mary Gossy,Women's Studies,4.6,100%,1.8
Jerry Scheinbeim,Engineering,3.0,N/A,3.9
Doug Decarlo,Computer Science,4.3,N/A,3
Aya Tanaka,French,3.6,N/A,2.3
C-H Chiu,Biology,3.0,N/A,3.3
Roger Klein,Economics,4.3,100%,3.2
David Debevoise,Italian,4.9,N/A,1.6
Elaine Zundl,Writing,3.6,67%,2.7
William Rodgers,Economics,3.2,0%,3.3
Sally Sevcik,English,1.5,N/A,3.9
Mukund Karwe,Food Science,4.7,N/A,1.7
Donald Stager,Social Work,3.9,75%,2.5
Charlotte Bunch,Women's Studies,3.7,N/A,4
Anantha Sudhakar,English,4.0,N/A,2.4
Elizabeth Gardner,English,3.4,0%,3
Suhrid Balakrishnan,Computer Science,2.7,N/A,3.3
Basily B. Basily,Engineering,2.5,N/A,1.8
Lara Santoro,Italian,4.6,N/A,2.2
Erick Sierra,Literature,4.9,N/A,2.8
Yan Yan Li,Mathematics,2.5,N/A,3
Shari Munch,Social Work,3.3,0%,4.1
Jennifer Hemler,Sociology,4.6,N/A,2.9
Joanne Korba,Nursing,4.0,100%,3.2
Constantino Vetriani,Microbiology,4.3,100%,2
Lea Stewart,Communication,4.8,86%,1.8
Sarah Labarge,English,4.9,100%,2.6
Ross Fadely,Physics,4.9,N/A,2.3
X Huang,Mathematics,2.4,0%,2.5
Dennis Bathory,Political Science,3.9,100%,3.5
Ilker Dastan,Economics,4.6,N/A,1.9
Maria Jose Cabrera,Languages,4.6,N/A,2.1
Eva Bodanszky,Philosophy,2.8,0%,2.8
Drucilla Cornell,Political Science,4.0,N/A,2
Peng Song,Engineering,3.7,N/A,3.3
Richard Trickle,Women's Studies,0.0,N/A,0
Morad Abou-Sabe,Biology,1.8,0%,3.5
Rene Ruel,Physics,4.1,80%,3.3
Molly Palmer,Languages,4.2,N/A,2
Marwa Hassan,Economics,3.0,100%,2.7
Kuang Sheng,Engineering,4.1,N/A,2.3
Ferhan Tunagur,Communication,4.9,N/A,1.3
Larry Romsted,Chemistry,4.0,50%,3.3
Sang-Wook Cheong,Physics,3.0,100%,3.7
Josh Finch,Computer Science,4.8,N/A,1.3
Naftaly Minsky,Computer Science,1.4,0%,3
Kuang Yu Chen,Chemistry,3.1,50%,3.2
Kevin Breen,Health Science,3.7,25%,2
Carol Sadley,Health Science,2.9,N/A,4
Steven Syrek,English,3.2,N/A,3.5
Gerald Chenoweth,Music,1.9,N/A,3.4
Thomas Robinson,Mathematics,2.6,N/A,3.1
Jason Spiegel-Grote,Writing,3.5,N/A,3.4
Prosper Godonoo,African Studies,4.0,N/A,2
Charlotte Craig,German,1.9,N/A,3.8
R Chen,Business,2.5,N/A,2.9
David Axelrod,Biology,3.1,75%,3.9
Leah Kronenberg,Classics,4.8,100%,2.1
Benjamin Glasser,Engineering,4.0,100%,3.5
Catherine Sameh,Women's Studies,3.5,N/A,1.8
Anne Piehl,Economics,4.1,100%,2.8
Darius Palia,Finance,1.9,34%,3.8
Alessandro Vettori,Italian,4.8,67%,2
Zhen Li,Computer Science,4.0,N/A,2.3
Peter Guarnaccia,Science,4.6,100%,2.2
Yuru Wu,Chinese,4.2,N/A,3.1
Mary Silberstein,Business,3.4,N/A,2
Dalia Fahmy,Political Science,4.8,N/A,2
Diane Rullo,Social Work,2.5,N/A,4.2
Tom Cain,Psychology,4.0,N/A,2.6
T Van Es,Biology,3.2,N/A,3.2
Sarah Rosenfield,Sociology,4.6,100%,1.4
Steven Jones,Health Science,3.2,0%,1.2
Jimmy De La Torre,Statistics,2.3,N/A,4.5
Mark Shemtob,Finance,4.1,N/A,2.8
Narayan Mandayam,Engineering,4.1,N/A,3.3
Adam Divine,Exercise Science,4.9,100%,2.7
Angela Butts,Sociology,4.9,N/A,1.3
Ken Light,Psychology,4.7,N/A,1.7
Nicholas Rennie,Languages,3.5,70%,3.7
Tracy Kalemba,Nursing,4.7,N/A,2.6
Amy Linch,Political Science,3.3,N/A,2.9
Guy Montelione,Bioinformatics & Molecular Bio,4.8,N/A,3.5
Yuri Zaderman,Mathematics,3.0,N/A,3.1
